rank,name_with_owner,owner,repo_name,stars,merged_prs,closed_prs,total_prs
171,PaddlePaddle/PaddleOCR,PaddlePaddle,PaddleOCR,77121,3154,741,3895
172,elastic/elasticsearch,elastic,elasticsearch,76639,90160,12142,102302
173,FortAwesome/Font-Awesome,FortAwesome,Font-Awesome,76550,220,475,695
174,ventoy/Ventoy,ventoy,Ventoy,76416,297,170,467
175,lobehub/lobehub,lobehub,lobehub,76070,5270,1615,6885
176,sdmg15/Best-websites-a-programmer-should-visit,sdmg15,Best-websites-a-programmer-should-visit,76031,431,582,1013
177,typicode/json-server,typicode,json-server,75539,171,236,407
178,nestjs/nest,nestjs,nest,75396,8299,2366,10665
179,awesomedata/awesome-public-datasets,awesomedata,awesome-public-datasets,75117,188,108,296
180,dair-ai/Prompt-Engineering-Guide,dair-ai,Prompt-Engineering-Guide,74222,342,63,405
181,redis/redis,redis,redis,74151,4536,2624,7160
182,unionlabs/union,unionlabs,union,74101,3110,331,3441
183,tesseract-ocr/tesseract,tesseract-ocr,tesseract,73915,1435,244,1679
184,vuejs/awesome-vue,vuejs,awesome-vue,73600,3633,394,4027
185,grafana/grafana,grafana,grafana,73593,65428,11126,76554
186,openai/openai-cookbook,openai,openai-cookbook,73258,1024,525,1549
187,enaqx/awesome-react,enaqx,awesome-react,73152,797,619,1416
188,twitter/the-algorithm,twitter,the-algorithm,73114,2,378,380
189,ocornut/imgui,ocornut,imgui,73011,419,1115,1534
190,apache/superset,apache,superset,72702,17174,5066,22240
191,OpenHands/OpenHands,OpenHands,OpenHands,72675,6950,2807,9757
192,PKUFlyingPig/cs-self-learning,PKUFlyingPig,cs-self-learning,72626,315,61,376
193,python/cpython,python,cpython,72588,58654,10161,68815
194,thedaviddias/Front-End-Checklist,thedaviddias,Front-End-Checklist,72551,179,135,314
195,thedotmack/claude-mem,thedotmack,claude-mem,72465,340,501,841
196,abi/screenshot-to-code,abi,screenshot-to-code,72444,78,90,168
197,josephmisiti/awesome-machine-learning,josephmisiti,awesome-machine-learning,72394,915,151,1066
198,daytonaio/daytona,daytonaio,daytona,72380,2231,1090,3321
199,obsproject/obs-studio,obsproject,obs-studio,72169,5440,2015,7455
200,caddyserver/caddy,caddyserver,caddy,72112,2308,539,2847
